"","pred_a1","pred_a0","pred_mu","pred_sigma","pred_mu_sigma","variance","mean_peak","mu_1","mu_2","mu_3","mu_4","mu_5","mu_6","mu_7","mu_8","CellID","animal"
"1167","0","0","3.9","0.7","0.2","0.212132034355964","3.85","4","3.7",NA,NA,NA,NA,NA,NA,"1167","M5."
"1168","0.1","0","6.1","1.3","2.7","2.1920310216783","6.25","7.8","4.7",NA,NA,NA,NA,NA,NA,"1168","M5."
"1169","0.2","0","13.5","1.6","11.4","20.1525432638166","19.35","33.6","5.1",NA,NA,NA,NA,NA,NA,"1169","M5."
"117","0","0","35","0.2","8.2","1.73877351409933","2.63333333333333","1.3","4.6","2",NA,NA,NA,NA,NA,"117","F5."
"1170","0.1","0","17.7","0.9","12.8","18.9504617357995","19.3","32.7","5.9",NA,NA,NA,NA,NA,NA,"1170","M5."
"1171","0.1","0","7.9","2.9","0.7","0.707106781186547","7.7","8.2","7.2",NA,NA,NA,NA,NA,NA,"1171","M5."
"1172","0.1","0","6.8","0.8","1.8","1.20208152801713","5.55","4.7","6.4",NA,NA,NA,NA,NA,NA,"1172","M5."
"1173","0.1","0","18.7","1.2","11.7","17.8898015640197","19.95","32.6","7.3",NA,NA,NA,NA,NA,NA,"1173","M5."
"1174","0","0","7.7","0.6","1.5","1.20208152801713","7.85","8.7","7",NA,NA,NA,NA,NA,NA,"1174","M5."
"1175","0.2","0","15.7","2.9","12.3","22.1324422511389","21.45","37.1","5.8",NA,NA,NA,NA,NA,NA,"1175","M5."
"1176","0.1","0","8.4","2.2","0.9","0.848528137423857","8.9","9.5","8.3",NA,NA,NA,NA,NA,NA,"1176","M5."
"1177","0.1","0","21.1","1.5","11.5","5.86898628384834","4.25","0.1","8.4",NA,NA,NA,NA,NA,NA,"1177","M5."
